Run name,Average_Reward,Step
50000_model_deep_value_autoeval_512_91,0.625,16384
50000_model_deep_value_autoeval_512_91,0.3125,65536
50000_model_deep_value_autoeval_512_91,3.75,114688
50000_model_deep_value_autoeval_512_91,8.75,163840
50000_model_deep_value_autoeval_512_91,7.8125,212992
50000_model_deep_value_autoeval_512_91,10.3125,262144
50000_model_deep_value_autoeval_512_91,10.3125,311296
50000_model_deep_value_autoeval_512_91,8.75,360448
50000_model_deep_value_autoeval_512_91,13.125,409600
50000_model_deep_value_autoeval_512_91,11.875,458752
50000_model_deep_value_autoeval_512_91,10.9375,507904
50000_model_deep_value_autoeval_512_91,11.5625,557056
50000_model_deep_value_autoeval_512_91,10.625,606208
50000_model_deep_value_autoeval_512_91,13.4375,655360
50000_model_deep_value_autoeval_512_91,12.8125,704512
50000_model_deep_value_autoeval_512_91,18.4375,753664
50000_model_deep_value_autoeval_512_91,14.375,802816
50000_model_deep_value_autoeval_512_91,16.5625,851968
50000_model_deep_value_autoeval_512_91,13.4375,901120
50000_model_deep_value_autoeval_512_91,17.1875,966656
50000_model_deep_value_autoeval_512_91,13.4375,1015808
50000_model_deep_value_autoeval_512_91,16.875,1064960
50000_model_deep_value_autoeval_512_91,15.3125,1114112
50000_model_deep_value_autoeval_512_91,16.5625,1163264
50000_model_deep_value_autoeval_512_91,15.625,1212416
50000_model_deep_value_autoeval_512_91,18.75,1261568
50000_model_deep_value_autoeval_512_91,15.3125,1310720
50000_model_deep_value_autoeval_512_91,16.5625,1359872
50000_model_deep_value_autoeval_512_91,14.6875,1409024
50000_model_deep_value_autoeval_512_91,15.9375,1458176
50000_model_deep_value_autoeval_512_91,15.0,1507328
50000_model_deep_value_autoeval_512_91,14.0625,1556480
50000_model_deep_value_autoeval_512_91,19.6875,1605632
50000_model_deep_value_autoeval_512_91,16.874259948730472,1654784
50000_model_deep_value_autoeval_512_91,14.980409622192385,1703936
50000_model_deep_value_autoeval_512_91,17.102893829345707,1753088
50000_model_deep_value_autoeval_512_91,14.26824188232422,1802240
50000_model_deep_value_autoeval_512_91,12.707131385803224,1851392
50000_model_deep_value_autoeval_512_91,16.408527374267578,1916928
50000_model_deep_value_autoeval_512_91,13.601036071777346,1966080
50000_model_deep_value_autoeval_512_91,13.27462387084961,2015232
50000_model_deep_value_autoeval_512_91,13.283479690551758,2064384
50000_model_deep_value_autoeval_512_91,16.64381217956543,2113536
50000_model_deep_value_autoeval_512_91,17.505659103393555,2162688
50000_model_deep_value_autoeval_512_91,21.39040946960449,2211840
50000_model_deep_value_autoeval_512_91,16.739154815673828,2260992
50000_model_deep_value_autoeval_512_91,15.168115615844727,2310144
50000_model_deep_value_autoeval_512_91,18.464237213134766,2359296
50000_model_deep_value_autoeval_512_91,17.487056732177734,2408448
50000_model_deep_value_autoeval_512_91,15.63842487335205,2457600
50000_model_deep_value_autoeval_512_91,15.021207809448242,2506752
50000_model_deep_value_autoeval_512_91,14.704305648803713,2555904
50000_model_deep_value_autoeval_512_91,15.283340454101562,2605056
50000_model_deep_value_autoeval_512_91,14.976408004760742,2654208
50000_model_deep_value_autoeval_512_91,16.14564323425293,2703360
50000_model_deep_value_autoeval_512_91,17.898162841796875,2752512
50000_model_deep_value_autoeval_512_91,16.374883651733402,2801664
50000_model_deep_value_autoeval_512_91,18.697792053222656,2867200
50000_model_deep_value_autoeval_512_91,14.522902488708494,2916352
50000_model_deep_value_autoeval_512_91,15.39326286315918,2965504
50000_model_deep_value_autoeval_512_91,18.029142379760746,3014656
50000_model_deep_value_autoeval_512_91,19.45730781555176,3063808
50000_model_deep_value_autoeval_512_91,16.1719970703125,3112960
50000_model_deep_value_autoeval_512_91,15.268445014953613,3162112
50000_model_deep_value_autoeval_512_91,20.80458068847656,3211264
50000_model_deep_value_autoeval_512_91,17.24381446838379,3260416
50000_model_deep_value_autoeval_512_91,19.818805694580078,3309568
50000_model_deep_value_autoeval_512_91,16.581626892089847,3358720
50000_model_deep_value_autoeval_512_91,18.57723999023437,3407872
50000_model_deep_value_autoeval_512_91,16.50984001159668,3457024
50000_model_deep_value_autoeval_512_91,18.795867919921875,3506176
50000_model_deep_value_autoeval_512_91,17.60131072998047,3555328
50000_model_deep_value_autoeval_512_91,16.999563217163086,3604480
50000_model_deep_value_autoeval_512_91,19.836015701293945,3653632
50000_model_deep_value_autoeval_512_91,18.07171440124512,3702784
50000_model_deep_value_autoeval_512_91,19.46510505676269,3751936
50000_model_deep_value_autoeval_512_91,17.994869232177734,3801088
50000_model_deep_value_autoeval_512_91,16.823434829711914,3866624
50000_model_deep_value_autoeval_512_91,18.787601470947266,3915776
50000_model_deep_value_autoeval_512_91,17.058597564697266,3964928
50000_model_deep_value_autoeval_512_91,16.75613784790039,4014080
50000_model_deep_value_autoeval_512_91,18.150836944580078,4063232
50000_model_deep_value_autoeval_512_91,15.296168327331545,4112384
50000_model_deep_value_autoeval_512_91,15.857158660888672,4161536
50000_model_deep_value_autoeval_512_91,16.97434425354004,4210688
50000_model_deep_value_autoeval_512_91,21.17625617980957,4259840
50000_model_deep_value_autoeval_512_91,18.593107223510746,4308992
50000_model_deep_value_autoeval_512_91,17.440744400024414,4358144
50000_model_deep_value_autoeval_512_91,17.140264511108402,4407296
50000_model_deep_value_autoeval_512_91,17.683652877807614,4456448
50000_model_deep_value_autoeval_512_91,15.42342758178711,4505600
50000_model_deep_value_autoeval_512_91,20.44106674194336,4554752
50000_model_deep_value_autoeval_512_91,15.388591766357422,4603904
50000_model_deep_value_autoeval_512_91,17.89112663269043,4653056
50000_model_deep_value_autoeval_512_91,17.311416625976562,4702208
50000_model_deep_value_autoeval_512_91,14.234230041503904,4751360
50000_model_deep_value_autoeval_512_91,14.23590850830078,4816896
50000_model_deep_value_autoeval_512_91,18.684803009033203,4866048
50000_model_deep_value_autoeval_512_91,18.38616180419922,4915200
50000_model_deep_value_autoeval_512_91,17.803274154663086,4964352
50000_model_deep_value_autoeval_512_91,16.398651123046875,5013504
50000_model_deep_value_autoeval_512_91,16.665618896484375,5062656
50000_model_deep_value_autoeval_512_91,17.486541748046875,5111808
50000_model_deep_value_autoeval_512_91,14.98158073425293,5160960
50000_model_deep_value_autoeval_512_91,18.572677612304688,5210112
50000_model_deep_value_autoeval_512_91,15.51217269897461,5259264
50000_model_deep_value_autoeval_512_91,14.954401016235352,5308416
50000_model_deep_value_autoeval_512_91,14.950484275817873,5357568
50000_model_deep_value_autoeval_512_91,18.81575965881348,5406720
50000_model_deep_value_autoeval_512_91,13.552209854125975,5455872
50000_model_deep_value_autoeval_512_91,17.97270965576172,5505024
50000_model_deep_value_autoeval_512_91,18.77779960632324,5554176
50000_model_deep_value_autoeval_512_91,18.757610321044922,5603328
50000_model_deep_value_autoeval_512_91,14.610723495483398,5652480
50000_model_deep_value_autoeval_512_91,17.360836029052734,5701632
50000_model_deep_value_autoeval_512_91,20.366500854492188,5767168
50000_model_deep_value_autoeval_512_91,16.221891403198242,5816320
50000_model_deep_value_autoeval_512_91,15.939093589782715,5865472
50000_model_deep_value_autoeval_512_91,18.673229217529297,5914624
50000_model_deep_value_autoeval_512_91,15.646411895751953,5963776
50000_model_deep_value_autoeval_512_91,19.470928192138672,6012928
50000_model_deep_value_autoeval_512_91,18.077524185180664,6062080
50000_model_deep_value_autoeval_512_91,15.061074256896973,6111232
50000_model_deep_value_autoeval_512_91,18.33732032775879,6160384
50000_model_deep_value_autoeval_512_91,18.59008979797364,6209536
50000_model_deep_value_autoeval_512_91,16.939434051513672,6258688
50000_model_deep_value_autoeval_512_91,15.56787395477295,6307840
50000_model_deep_value_autoeval_512_91,17.19984245300293,6356992
50000_model_deep_value_autoeval_512_91,19.09098243713379,6406144
50000_model_deep_value_autoeval_512_91,18.803974151611328,6455296
50000_model_deep_value_autoeval_512_91,14.702936172485352,6504448
50000_model_deep_value_autoeval_512_91,17.150623321533207,6553600
50000_model_deep_value_autoeval_512_91,15.245512962341307,6602752
50000_model_deep_value_autoeval_512_91,18.76813125610352,6651904
50000_model_deep_value_autoeval_512_91,19.56709098815918,6701056
50000_model_deep_value_autoeval_512_91,18.193103790283203,6766592
50000_model_deep_value_autoeval_512_91,16.555118560791016,6815744
50000_model_deep_value_autoeval_512_91,12.754236221313475,6864896
50000_model_deep_value_autoeval_512_91,19.800800323486328,6914048
50000_model_deep_value_autoeval_512_91,17.075553894042972,6963200
50000_model_deep_value_autoeval_512_91,15.173112869262695,7012352
50000_model_deep_value_autoeval_512_91,15.44278049468994,7061504
50000_model_deep_value_autoeval_512_91,17.604625701904297,7110656
50000_model_deep_value_autoeval_512_91,15.701425552368164,7159808
50000_model_deep_value_autoeval_512_91,18.670825958251953,7208960
50000_model_deep_value_autoeval_512_91,17.034774780273438,7258112
50000_model_deep_value_autoeval_512_91,17.83794403076172,7307264
50000_model_deep_value_autoeval_512_91,14.861069679260256,7356416
50000_model_deep_value_autoeval_512_91,15.13253116607666,7405568
50000_model_deep_value_autoeval_512_91,18.09618186950684,7454720
50000_model_deep_value_autoeval_512_91,17.274608612060547,7503872
50000_model_deep_value_autoeval_512_91,17.271869659423828,7553024
50000_model_deep_value_autoeval_512_91,16.722362518310547,7602176
50000_model_deep_value_autoeval_512_91,16.980859756469727,7651328
50000_model_deep_value_autoeval_512_91,16.439712524414062,7716864
50000_model_deep_value_autoeval_512_91,18.854496002197266,7766016
50000_model_deep_value_autoeval_512_91,17.496696472167972,7815168
50000_model_deep_value_autoeval_512_91,14.800329208374025,7864320
50000_model_deep_value_autoeval_512_91,16.681474685668945,7913472
50000_model_deep_value_autoeval_512_91,17.213298797607422,7962624
50000_model_deep_value_autoeval_512_91,20.696338653564453,8011776
50000_model_deep_value_autoeval_512_91,15.04301929473877,8060928
50000_model_deep_value_autoeval_512_91,17.184696197509766,8110080
50000_model_deep_value_autoeval_512_91,16.910371780395508,8159232
50000_model_deep_value_autoeval_512_91,15.566104888916016,8208384
50000_model_deep_value_autoeval_512_91,17.70720672607422,8257536
50000_model_deep_value_autoeval_512_91,16.359529495239258,8306688
50000_model_deep_value_autoeval_512_91,21.44074249267578,8355840
50000_model_deep_value_autoeval_512_91,15.802785873413086,8404992
50000_model_deep_value_autoeval_512_91,19.274539947509766,8454144
50000_model_deep_value_autoeval_512_91,16.588384628295902,8503296
50000_model_deep_value_autoeval_512_91,17.385005950927734,8552448
50000_model_deep_value_autoeval_512_91,16.308887481689453,8601600
50000_model_deep_value_autoeval_512_91,17.64056396484375,8667136
50000_model_deep_value_autoeval_512_91,14.164955139160154,8716288
50000_model_deep_value_autoeval_512_91,17.90091896057129,8765440
50000_model_deep_value_autoeval_512_91,18.425098419189453,8814592
50000_model_deep_value_autoeval_512_91,16.817811965942386,8863744
50000_model_deep_value_autoeval_512_91,15.21346950531006,8912896
50000_model_deep_value_autoeval_512_91,17.347345352172848,8962048
50000_model_deep_value_autoeval_512_91,17.604658126831055,9011200
50000_model_deep_value_autoeval_512_91,21.589466094970703,9060352
50000_model_deep_value_autoeval_512_91,16.779584884643555,9109504
50000_model_deep_value_autoeval_512_91,17.573017120361328,9158656
50000_model_deep_value_autoeval_512_91,18.361461639404297,9207808
50000_model_deep_value_autoeval_512_91,17.29115104675293,9256960
50000_model_deep_value_autoeval_512_91,18.34619903564453,9306112
50000_model_deep_value_autoeval_512_91,16.476430892944336,9355264
50000_model_deep_value_autoeval_512_91,17.536003112792972,9404416
50000_model_deep_value_autoeval_512_91,15.673002243041992,9453568
50000_model_deep_value_autoeval_512_91,16.465190887451172,9502720
50000_model_deep_value_autoeval_512_91,18.057716369628906,9551872
50000_model_deep_value_autoeval_512_91,18.308452606201172,9601024
50000_model_deep_value_autoeval_512_91,15.124382019042967,9666560
50000_model_deep_value_autoeval_512_91,15.12532901763916,9715712
50000_model_deep_value_autoeval_512_91,18.302997589111328,9764864
50000_model_deep_value_autoeval_512_91,18.558635711669922,9814016
50000_model_deep_value_autoeval_512_91,18.813949584960934,9863168
50000_model_deep_value_autoeval_512_91,18.00965690612793,9912320
50000_model_deep_value_autoeval_512_91,17.473941802978516,9961472
50000_model_deep_value_autoeval_512_91,16.67559814453125,10010624
